Jaar indiening,Project Besluit VVO Type,Gebouw Functie kort,Handeling,[Project Indiening DatumautoCalendarQuarter],Aantal projecten,Aantal gebouwen,Aantal gebouwen (met gebouwinfo),Aantal wooneenheden,Aantal (studenten)kamers,Nuttige woonoppervlakte (m²),Nuttige oppervlakte kamerwoningen (m²),Bovengronds nuttige oppervlakte (m²),Bovengronds grond oppervlakte (m²),Gesloopte oppervlakte (m²),Gesloopte volume (m³),Date
2018,-,-,Sloop,Q1,243,376,376,0,0,0.0,0,0.0,0.0,233132.4,1630065.22,2018-01-01
2018,Provincie,-,Sloop,Q1,113,167,167,0,0,0.0,0,0.0,0.0,136690.08,603417.57,2018-01-01
2018,Provincie,-,-,Q1,50,1980,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-01-01
2018,-,-,Verbouwen of hergebruik,Q1,18,18,18,0,0,0.0,0,260501.23,3398.43,0.0,0.0,2018-01-01
2018,Vlaamse Overheid,-,Sloop,Q1,7,10,10,0,0,0.0,0,0.0,0.0,4968.7,22046.99,2018-01-01
2018,-,-,Nieuwbouw,Q1,5,5,5,1,0,0.0,0,14135.32,3968.18,0.0,0.0,2018-01-01
2018,RVVB,-,Sloop,Q1,2,6,6,0,0,0.0,0,0.0,0.0,861.83,6598.41,2018-01-01
2018,Provincie,-,Nieuwbouw,Q1,1,1,1,0,0,0.0,0,5330.0,1219.3,0.0,0.0,2018-01-01
2018,Provincie,-,Verbouwen of hergebruik,Q1,1,1,1,0,0,0.0,0,383.48,169.44,0.0,0.0,2018-01-01
2018,Vlaamse Overheid,-,-,Q1,0,120,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-01-01
2018,RVVB,-,-,Q1,0,24,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-01-01
2018,Gemeente,-,-,Q2,2165,41689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-04-01
2018,Gemeente,-,Sloop,Q2,1606,2501,2501,0,0,0.0,0,0.0,0.0,992528.12,5860304.82,2018-04-01
2018,-,-,-,Q2,665,12306,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-04-01
2018,-,-,Sloop,Q2,381,663,663,0,0,0.0,0,0.0,0.0,355394.55,1123797.27,2018-04-01
2018,Provincie,-,Sloop,Q2,182,325,325,0,0,0.0,0,0.0,0.0,169012.24,966987.08,2018-04-01
2018,Provincie,-,-,Q2,93,4143,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-04-01
2018,Vlaamse Overheid,-,Sloop,Q2,9,16,16,0,0,0.0,0,0.0,0.0,25322.4,43470.4,2018-04-01
2018,-,-,Nieuwbouw,Q2,9,11,11,0,0,0.0,0,22784.67,9944.65,0.0,0.0,2018-04-01
2018,Provincie,-,Nieuwbouw,Q2,8,10,10,0,0,0.0,0,27897.23,10558.44,0.0,0.0,2018-04-01
2018,RVVB,-,Sloop,Q2,6,12,12,0,0,0.0,0,0.0,0.0,4873.0,31993.14,2018-04-01
2018,RVVB,-,-,Q2,2,160,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-04-01
2018,Vlaamse Overheid,-,-,Q2,2,24,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-04-01
2018,RVVB,-,Nieuwbouw,Q2,1,1,1,0,0,0.0,0,3688.0,1703.0,0.0,0.0,2018-04-01
2018,Gemeente,-,-,Q3,1900,38679,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2018-07-01
2018,Gemeente,-,Sloop,Q3,1418,2140,2140,0,0,0.0,0,0.0,0.0,1628688.96,7866118.87,2018-07-01
